# Baseline
         502204924 function calls (502204785 primitive calls) in 215.464 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     17/1    0.000    0.000  215.464  215.464 {built-in method builtins.exec}
        1    0.000    0.000  215.464  215.464 extended.py:1(<module>)
        1    0.003    0.003  215.452  215.452 extended.py:177(entry_func)
        1    0.400    0.400  215.445  215.445 extended.py:148(walk_all)
      153   57.692    0.377  214.993    1.405 extended.py:91(walk_path_dijstra)
 13012848   51.613    0.000   89.590    0.000 extended.py:74(possible_moves)
121759552   24.704    0.000   37.505    0.000 enum.py:1261(__hash__)
 27826898   33.984    0.000   34.235    0.000 {built-in method _heapq.heappop}
121759552   12.800    0.000   12.800    0.000 {built-in method builtins.hash}
 79878290   10.809    0.000   10.809    0.000 extended.py:61(get_mat)
 52051392    8.094    0.000    8.094    0.000 extended.py:58(add_pos)
 27826745    7.059    0.000    7.068    0.000 {built-in method _heapq.heappush}
 27834509    4.252    0.000    4.252    0.000 {method 'append' of 'list' objects}
27830691/27830684    3.745    0.000    3.745    0.000 {built-in method builtins.len}
  2413078    0.260    0.000    0.260    0.000 extended.py:20(__lt__)
        6    0.004    0.001    0.045    0.008 extended.py:119(get_path)
        6    0.026    0.004    0.026    0.004 extended.py:110(remove_orient_seen)
     17/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:1349(_find_and_load)
     17/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     17/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap>:911(_load_unlocked)
     16/1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap_external>:993(exec_module)
     36/2    0.000    0.000    0.011    0.006 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.011    0.011 __init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 main.py:1(<module>)
     10/8    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.004    0.002 {built-in method builtins.__import__}
       16    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
      149    0.003    0.000    0.003    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.003    0.003 extended.py:45(print_mat)
        1    0.000    0.000    0.003    0.003 runner.py:1(<module>)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
       16    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.002    0.002 case.py:1(<module>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        3    0.000    0.000    0.002    0.001 enum.py:913(_convert_)
